Faixa_Etaria;Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
9-11;Qual o resultado de 19 x 13?;235;248;247;257;C
9-11;Qual o resultado de 34 x 3?;102;110;90;96;A
9-11;Qual o resultado de 22 x 13?;286;298;273;280;A
9-11;Qual o resultado de 37 x 10?;359;361;383;370;D
9-11;Qual o resultado de 14 x 10?;140;135;128;150;A
9-11;Qual o resultado de 26 x 12?;312;324;297;306;A
9-11;Qual o resultado de 27 x 7?;186;193;189;195;C
9-11;Qual o resultado de 26 x 4?;100;104;106;111;B
9-11;Qual o resultado de 37 x 13?;483;474;481;479;C
9-11;Qual o resultado de 12 x 4?;42;48;39;41;B
9-11;Qual o resultado de 13 x 12?;161;155;156;167;C
9-11;Qual o resultado de 12 x 8?;91;110;97;96;D
9-11;Qual o resultado de 25 x 15?;366;375;376;373;B
9-11;Qual o resultado de 35 x 4?;127;134;144;140;D
9-11;Qual o resultado de 22 x 14?;298;308;307;296;B
9-11;Qual o resultado de 25 x 4?;100;101;98;110;A
9-11;Qual o resultado de 28 x 10?;280;270;267;284;A
9-11;Qual o resultado de 40 x 3?;120;134;115;118;A
9-11;Qual o resultado de 40 x 4?;151;145;164;160;D
9-11;Qual o resultado de 14 x 14?;209;184;196;205;C
9-11;Qual o resultado de 27 x 8?;224;212;221;216;D
9-11;Qual o resultado de 16 x 10?;156;163;160;148;C
9-11;Qual o resultado de 13 x 6?;89;87;78;85;C
9-11;Qual o resultado de 21 x 3?;64;63;73;65;B
9-11;Qual o resultado de 29 x 8?;229;240;232;235;C
9-11;Qual o resultado de 26 x 5?;130;139;129;119;A
9-11;Qual o resultado de 37 x 11?;407;395;409;411;A
9-11;Qual o resultado de 38 x 4?;166;152;150;165;B
9-11;Qual o resultado de 36 x 14?;517;511;493;504;D
9-11;Qual o resultado de 21 x 14?;294;288;298;302;A
9-11;Qual o resultado de 31 x 14?;430;431;434;438;C
9-11;Qual o resultado de 39 x 3?;102;117;120;106;B
9-11;Qual o resultado de 37 x 9?;329;318;347;333;D
9-11;Qual o resultado de 24 x 14?;346;336;330;341;B
9-11;Qual o resultado de 17 x 10?;168;173;170;164;C
9-11;Qual o resultado de 14 x 13?;182;193;181;194;A
9-11;Qual o resultado de 29 x 4?;114;124;101;116;D
9-11;Qual o resultado de 23 x 11?;263;267;253;256;C
9-11;Qual o resultado de 35 x 3?;117;107;105;97;C
9-11;Qual o resultado de 11 x 14?;168;154;157;150;B
9-11;Qual o resultado de 19 x 11?;217;221;209;212;C
9-11;Qual o resultado de 23 x 12?;273;270;276;280;C
9-11;Qual o resultado de 27 x 9?;234;233;249;243;D
9-11;Qual o resultado de 32 x 9?;288;286;276;293;A
9-11;Qual o resultado de 16 x 12?;195;191;192;200;C
9-11;Qual o resultado de 23 x 15?;345;352;330;359;A
9-11;Qual o resultado de 30 x 14?;433;421;427;420;D
9-11;Qual o resultado de 25 x 14?;350;357;341;345;A
9-11;Qual o resultado de 31 x 11?;349;341;332;336;B
9-11;Qual o resultado de 34 x 8?;272;267;259;258;A
9-11;Qual o resultado de 27 x 5?;129;135;136;147;B
9-11;Qual o resultado de 15 x 14?;210;220;212;200;A
9-11;Qual o resultado de 22 x 14?;300;317;322;308;D
9-11;Qual o resultado de 24 x 7?;154;168;162;179;B
9-11;Qual o resultado de 21 x 12?;252;262;264;257;A
9-11;Qual o resultado de 14 x 12?;164;168;181;171;B
9-11;Qual o resultado de 21 x 4?;78;98;84;93;C
9-11;Qual o resultado de 33 x 8?;264;254;251;272;A
9-11;Qual o resultado de 30 x 12?;350;360;358;345;B
9-11;Qual o resultado de 24 x 3?;85;63;58;72;D
9-11;Qual o resultado de 37 x 9?;333;332;319;346;A
9-11;Qual o resultado de 20 x 9?;188;185;180;168;C
9-11;Qual o resultado de 23 x 12?;261;276;272;269;B
9-11;Qual o resultado de 21 x 8?;160;182;166;168;D
9-11;Qual o resultado de 36 x 10?;363;367;370;360;D
9-11;Qual o resultado de 13 x 10?;138;130;136;139;B
9-11;Qual o resultado de 25 x 3?;86;75;80;76;B
9-11;Qual o resultado de 11 x 13?;149;143;151;130;B
9-11;Qual o resultado de 30 x 14?;409;419;416;420;D
9-11;Qual o resultado de 14 x 12?;179;155;168;178;C
9-11;Qual o resultado de 13 x 12?;156;169;162;158;A
9-11;Qual o resultado de 34 x 8?;272;279;273;270;A
9-11;Qual o resultado de 30 x 9?;270;278;280;282;A
9-11;Qual o resultado de 34 x 8?;280;272;267;279;B
9-11;Qual o resultado de 30 x 13?;390;395;392;399;A
9-11;Qual o resultado de 27 x 8?;208;217;209;216;D
9-11;Qual o resultado de 34 x 9?;306;314;292;295;A
9-11;Qual o resultado de 16 x 9?;152;156;144;142;C
9-11;Qual o resultado de 13 x 9?;117;105;118;126;A
9-11;Qual o resultado de 28 x 11?;314;322;313;308;D
9-11;Qual o resultado de 24 x 5?;122;120;128;114;B
9-11;Qual o resultado de 18 x 6?;110;117;108;96;C
9-11;Qual o resultado de 27 x 9?;244;242;243;237;C
9-11;Qual o resultado de 18 x 4?;80;72;64;59;B
9-11;Qual o resultado de 19 x 9?;171;163;169;172;A
9-11;Qual o resultado de 37 x 12?;452;429;444;436;C
9-11;Qual o resultado de 17 x 3?;42;50;51;40;C
9-11;Qual o resultado de 31 x 15?;462;465;456;459;B
9-11;Qual o resultado de 25 x 4?;85;100;106;101;B
9-11;Qual o resultado de 13 x 14?;182;189;191;195;A
9-11;Qual o resultado de 39 x 7?;264;278;273;260;C
9-11;Qual o resultado de 34 x 12?;416;399;407;408;D
9-11;Qual o resultado de 27 x 9?;236;247;248;243;D
9-11;Qual o resultado de 22 x 15?;344;327;330;326;C
9-11;Qual o resultado de 30 x 3?;76;85;83;90;D
9-11;Qual o resultado de 36 x 7?;246;252;261;263;B
9-11;Qual o resultado de 26 x 9?;236;229;232;234;D
9-11;Qual o resultado de 16 x 8?;128;113;139;134;A
9-11;Qual o resultado de 17 x 5?;78;91;85;74;C
9-11;Qual o resultado de 24 x 6?;154;152;144;130;C
9-11;Qual o resultado de 38 x 7?;266;253;269;264;A
9-11;Qual o resultado de 13 x 11?;146;138;143;152;C
9-11;Qual o resultado de 16 x 7?;118;106;112;124;C
9-11;Qual o resultado de 15 x 6?;90;96;103;85;A
9-11;Qual o resultado de 22 x 8?;178;189;161;176;D
9-11;Qual o resultado de 15 x 10?;153;160;138;150;D
9-11;Qual o resultado de 29 x 5?;137;145;152;148;B
9-11;Qual o resultado de 29 x 12?;348;336;356;354;A
9-11;Qual o resultado de 11 x 8?;88;94;100;76;A
9-11;Qual o resultado de 21 x 13?;281;262;273;264;C
9-11;Qual o resultado de 19 x 13?;233;260;247;237;C
9-11;Qual o resultado de 33 x 15?;498;482;488;495;D
9-11;Qual o resultado de 38 x 13?;504;494;498;480;B
9-11;Qual o resultado de 31 x 11?;334;341;348;333;B
9-11;Qual o resultado de 20 x 5?;94;100;87;108;B
9-11;Qual o resultado de 37 x 12?;446;444;455;429;B
9-11;Qual o resultado de 12 x 7?;77;97;84;94;C
9-11;Qual o resultado de 32 x 11?;351;352;342;356;B
9-11;Qual o resultado de 27 x 14?;378;371;379;370;A
9-11;Qual o resultado de 35 x 8?;291;282;290;280;D
9-11;Qual o resultado de 25 x 12?;301;294;300;311;C
9-11;Qual o resultado de 14 x 12?;168;180;164;161;A
9-11;Qual o resultado de 11 x 8?;94;76;88;101;C
9-11;Qual o resultado de 11 x 14?;154;146;167;157;A
9-11;Qual o resultado de 22 x 7?;143;154;162;146;B
9-11;Qual o resultado de 15 x 14?;218;214;210;211;C
9-11;Qual o resultado de 15 x 4?;62;58;60;72;C
9-11;Qual o resultado de 18 x 3?;43;59;45;54;D
9-11;Qual o resultado de 23 x 6?;134;139;138;147;C
9-11;Qual o resultado de 22 x 10?;213;229;215;220;D
9-11;Qual o resultado de 16 x 10?;148;150;161;160;D
9-11;Qual o resultado de 24 x 5?;120;107;121;127;A
9-11;Qual o resultado de 12 x 6?;59;72;60;63;B
9-11;Qual o resultado de 22 x 11?;242;250;235;246;A
9-11;Qual o resultado de 31 x 13?;396;395;403;401;C
9-11;Qual o resultado de 28 x 3?;84;74;97;83;A
9-11;Qual o resultado de 12 x 13?;154;143;162;156;D
9-11;Qual o resultado de 22 x 7?;154;159;165;161;A
9-11;Qual o resultado de 30 x 10?;306;302;314;300;D
9-11;Qual o resultado de 29 x 13?;366;377;390;367;B
9-11;Qual o resultado de 31 x 5?;155;140;163;162;A
9-11;Qual o resultado de 35 x 14?;490;503;481;504;A
9-11;Qual o resultado de 28 x 14?;395;398;404;392;D
9-11;Qual o resultado de 38 x 15?;577;572;562;570;D
9-11;Qual o resultado de 23 x 9?;193;211;200;207;D
9-11;Qual o resultado de 17 x 5?;75;95;87;85;D
9-11;Qual o resultado de 40 x 13?;520;521;506;513;A
9-11;Qual o resultado de 26 x 4?;104;116;111;99;A
9-11;Qual o resultado de 24 x 13?;312;326;320;323;A
9-11;Qual o resultado de 14 x 4?;41;56;66;48;B
9-11;Qual o resultado de 23 x 7?;161;150;153;152;A
9-11;Qual o resultado de 29 x 9?;267;258;261;254;C
9-11;Qual o resultado de 15 x 3?;52;42;45;59;C
9-11;Quanto é 940 dividido por 20?;47;53;55;48;A
9-11;Quanto é 630 dividido por 18?;23;35;46;49;B
9-11;Quanto é 54 dividido por 9?;20;19;6;17;C
9-11;Quanto é 150 dividido por 3?;55;39;49;50;D
9-11;Quanto é 195 dividido por 15?;13;25;4;26;A
9-11;Quanto é 490 dividido por 10?;52;49;35;41;B
9-11;Quanto é 85 dividido por 5?;14;17;4;28;B
9-11;Quanto é 738 dividido por 18?;29;41;33;31;B
9-11;Quanto é 95 dividido por 19?;5;18;10;6;A
9-11;Quanto é 585 dividido por 15?;26;39;43;51;B
9-11;Quanto é 286 dividido por 11?;39;14;26;36;C
9-11;Quanto é 456 dividido por 12?;38;52;41;23;A
9-11;Quanto é 21 dividido por 3?;11;1;14;7;D
9-11;Quanto é 558 dividido por 18?;43;32;40;31;D
9-11;Quanto é 110 dividido por 10?;10;21;0;11;D
9-11;Quanto é 104 dividido por 8?;16;13;24;3;B
9-11;Quanto é 480 dividido por 15?;30;32;28;21;B
9-11;Quanto é 255 dividido por 17?;18;21;11;15;D
9-11;Quanto é 560 dividido por 14?;26;40;30;45;B
9-11;Quanto é 148 dividido por 4?;28;26;37;39;C
9-11;Quanto é 64 dividido por 4?;10;3;16;28;C
9-11;Quanto é 100 dividido por 20?;7;11;5;19;C
9-11;Quanto é 64 dividido por 8?;14;3;8;11;C
9-11;Quanto é 308 dividido por 11?;28;13;41;30;A
9-11;Quanto é 602 dividido por 14?;45;52;50;43;D
9-11;Quanto é 184 dividido por 4?;42;46;54;47;B
9-11;Quanto é 369 dividido por 9?;41;36;51;50;A
9-11;Quanto é 420 dividido por 14?;17;23;20;30;D
9-11;Quanto é 540 dividido por 20?;27;14;26;13;A
9-11;Quanto é 260 dividido por 10?;14;21;24;26;D
9-11;Quanto é 100 dividido por 5?;14;25;20;12;C
9-11;Quanto é 784 dividido por 16?;55;60;35;49;D
9-11;Quanto é 165 dividido por 5?;33;27;35;21;A
9-11;Quanto é 686 dividido por 14?;50;60;49;59;C
9-11;Quanto é 180 dividido por 4?;41;45;40;54;B
9-11;Quanto é 224 dividido por 16?;1;14;25;27;B
9-11;Quanto é 112 dividido por 4?;33;28;18;36;B
9-11;Quanto é 615 dividido por 15?;41;28;38;26;A
9-11;Quanto é 184 dividido por 8?;19;15;23;36;C
9-11;Quanto é 272 dividido por 17?;3;16;28;17;B
9-11;Quanto é 680 dividido por 20?;24;30;34;37;C
9-11;Quanto é 612 dividido por 17?;46;22;34;36;D
9-11;Quanto é 60 dividido por 5?;18;13;6;12;D
9-11;Quanto é 660 dividido por 15?;51;44;52;30;B
9-11;Quanto é 225 dividido por 5?;45;44;41;55;A
9-11;Quanto é 484 dividido por 11?;42;58;44;41;C
9-11;Quanto é 336 dividido por 7?;34;37;48;50;C
9-11;Quanto é 432 dividido por 12?;28;39;36;27;C
9-11;Quanto é 91 dividido por 13?;4;1;2;7;D
9-11;Quanto é 116 dividido por 4?;29;37;15;24;A
9-11;Quanto é 391 dividido por 17?;28;23;21;27;B
9-11;Quanto é 120 dividido por 4?;37;32;40;30;D
9-11;Quanto é 270 dividido por 18?;10;15;13;7;B
9-11;Quanto é 114 dividido por 3?;24;38;29;39;B
9-11;Quanto é 480 dividido por 15?;32;38;25;26;A
9-11;Quanto é 855 dividido por 19?;45;37;47;43;A
9-11;Quanto é 301 dividido por 7?;43;49;36;28;A
9-11;Quanto é 408 dividido por 17?;36;24;35;17;B
9-11;Quanto é 364 dividido por 13?;39;31;28;32;C
9-11;Quanto é 144 dividido por 12?;26;8;12;0;C
9-11;Quanto é 765 dividido por 17?;45;49;50;30;A
9-11;Quanto é 539 dividido por 11?;50;61;42;49;D
9-11;Quanto é 130 dividido por 13?;10;5;4;17;A
9-11;Quanto é 35 dividido por 7?;19;11;13;5;D
9-11;Quanto é 420 dividido por 15?;41;40;28;17;C
9-11;Quanto é 56 dividido por 7?;3;22;8;18;C
9-11;Quanto é 525 dividido por 15?;23;22;34;35;D
9-11;Quanto é 210 dividido por 5?;32;28;51;42;D
9-11;Quanto é 264 dividido por 8?;26;33;30;25;B
9-11;Quanto é 119 dividido por 7?;10;17;2;18;B
9-11;Quanto é 264 dividido por 6?;44;41;38;47;A
9-11;Quanto é 264 dividido por 8?;33;42;46;23;A
9-11;Quanto é 532 dividido por 14?;34;38;42;48;B
9-11;Quanto é 473 dividido por 11?;44;29;43;40;C
9-11;Quanto é 15 dividido por 3?;2;5;6;19;B
9-11;Quanto é 84 dividido por 14?;5;11;6;19;C
9-11;Quanto é 20 dividido por 4?;15;14;19;5;D
9-11;Quanto é 27 dividido por 3?;5;20;17;9;D
9-11;Quanto é 52 dividido por 4?;19;25;7;13;D
9-11;Quanto é 304 dividido por 8?;28;38;46;33;B
9-11;Quanto é 612 dividido por 18?;20;33;34;19;C
9-11;Quanto é 560 dividido por 20?;27;22;28;39;C
9-11;Quanto é 259 dividido por 7?;39;41;37;32;C
9-11;Quanto é 210 dividido por 15?;5;14;12;26;B
9-11;Quanto é 432 dividido por 18?;37;13;21;24;D
9-11;Quanto é 816 dividido por 17?;48;54;39;52;A
9-11;Quanto é 240 dividido por 5?;48;62;37;51;A
9-11;Quanto é 666 dividido por 18?;44;35;37;42;C
9-11;Quanto é 112 dividido por 14?;6;8;7;0;B
9-11;Quanto é 60 dividido por 10?;4;9;6;0;C
9-11;Quanto é 100 dividido por 5?;20;12;18;9;A
9-11;Quanto é 175 dividido por 5?;28;32;35;29;C
9-11;Quanto é 168 dividido por 12?;12;14;2;3;B
9-11;Quanto é 330 dividido por 10?;22;31;28;33;D
9-11;Quanto é 572 dividido por 13?;44;31;34;33;A
9-11;Quanto é 624 dividido por 16?;27;53;52;39;D
9-11;Quanto é 336 dividido por 16?;6;21;34;8;B
9-11;Quanto é 147 dividido por 3?;62;57;49;54;C
9-11;Quanto é 115 dividido por 5?;12;23;28;14;B
9-11;Quanto é 120 dividido por 5?;27;24;30;32;B
9-11;Quanto é 172 dividido por 4?;43;36;56;49;A
9-11;Quanto é 629 dividido por 17?;41;37;26;49;B
9-11;Quanto é 405 dividido por 9?;48;41;45;46;C
9-11;Quanto é 266 dividido por 7?;47;45;44;38;D
9-11;Quanto é 155 dividido por 5?;38;44;31;43;C
9-11;Quanto é 615 dividido por 15?;28;42;43;41;D
9-11;Quanto é 187 dividido por 11?;6;17;12;2;B
9-11;Quanto é 64 dividido por 8?;8;14;15;16;A
9-11;Quanto é 720 dividido por 20?;29;30;24;36;D
9-11;Quanto é 792 dividido por 18?;45;30;39;44;D
9-11;Quanto é 112 dividido por 8?;14;21;20;18;A
9-11;Quanto é 440 dividido por 10?;33;44;30;32;B
9-11;Quanto é 180 dividido por 18?;18;20;24;10;D
9-11;Quanto é 336 dividido por 14?;16;20;24;25;C
9-11;Quanto é 238 dividido por 7?;39;30;34;27;C
9-11;Quanto é 144 dividido por 16?;3;0;13;9;D
9-11;Quanto é 931 dividido por 19?;57;53;50;49;D
9-11;Quanto é 423 dividido por 9?;49;61;52;47;D
9-11;Quanto é 70 dividido por 5?;0;28;14;18;C
9-11;Quanto é 96 dividido por 12?;15;12;8;4;C
9-11;Quanto é 380 dividido por 19?;27;31;5;20;D
9-11;Quanto é 336 dividido por 7?;48;39;45;36;A
9-11;Quanto é 288 dividido por 9?;32;36;25;44;A
9-11;Quanto é 387 dividido por 9?;43;55;56;53;A
9-11;Quanto é 88 dividido por 11?;8;2;13;0;A
9-11;Quanto é 240 dividido por 16?;20;0;28;15;D
9-11;Quanto é 540 dividido por 20?;27;36;22;35;A
9-11;Quanto é 87 dividido por 3?;28;29;20;18;B
9-11;Quanto é 133 dividido por 19?;7;21;13;15;A
9-11;Quanto é 1000 dividido por 20?;50;52;58;35;A
9-11;Quanto é 198 dividido por 9?;18;25;34;22;D
9-11;Quanto é 104 dividido por 4?;24;22;20;26;D
9-11;Quanto é 128 dividido por 16?;8;11;10;5;A
9-11;Quanto é 220 dividido por 11?;20;30;21;17;A
9-11;Quanto é 588 dividido por 14?;43;42;27;38;B
9-11;Quanto é 520 dividido por 20?;26;11;12;24;A
9-11;Quanto é 320 dividido por 20?;11;8;15;16;D
9-11;Quanto é 462 dividido por 11?;42;31;41;39;A
9-11;Quanto é 288 dividido por 9?;24;20;44;32;D
9-11;Quanto é 190 dividido por 10?;19;23;18;15;A
9-11;Quanto é 111 dividido por 3?;37;35;31;41;A
9-11;Quanto é 221 dividido por 17?;0;16;19;13;D
9-11;Quanto é 620 dividido por 20?;31;33;44;32;A
9-11;Quanto é 250 dividido por 5?;60;38;46;50;D
9-11;Quanto é 156 dividido por 4?;38;39;29;30;B
9-11;Quanto é 450 dividido por 9?;55;38;47;50;D
9-11;Quanto é 760 dividido por 19?;27;50;40;29;C
9-11;Quanto é 440 dividido por 10?;50;47;58;44;D
9-11;Quanto é 180 dividido por 15?;12;23;24;26;A
9-11;Quanto é 95 dividido por 5?;13;18;19;16;C
9-11;Quanto é 702 dividido por 18?;32;39;28;45;B
9-11;Quanto é 380 dividido por 10?;38;26;29;33;A
9-11;Quanto é 779 dividido por 19?;54;41;53;33;B
9-11;Quanto é 470 dividido por 10?;61;52;37;47;D
9-11;Quanto é 385 dividido por 11?;35;44;46;24;A
9-11;Quanto é 900 dividido por 20?;45;47;43;40;A
9-11;Quanto é 740 dividido por 20?;31;36;47;37;D
9-11;Quanto é 540 dividido por 12?;45;39;46;57;A
9-11;Quanto é 550 dividido por 11?;36;50;53;40;B
9-11;Quanto é 162 dividido por 6?;35;27;19;38;B
9-11;Quanto é 287 dividido por 7?;41;29;38;44;A
9-11;Quanto é 259 dividido por 7?;36;35;37;47;C
9-11;Quanto é 256 dividido por 8?;28;21;38;32;D
9-11;Quanto é 133 dividido por 7?;19;15;31;5;A
9-11;Quanto é 60 dividido por 6?;1;15;23;10;D
9-11;Quanto é 210 dividido por 5?;42;37;41;47;A
9-11;Quanto é 105 dividido por 3?;33;37;21;35;D
9-11;Quanto é 108 dividido por 12?;12;13;9;2;C
9-11;Quanto é 200 dividido por 4?;36;50;54;57;B
9-11;Quanto é 234 dividido por 18?;13;16;2;6;A
9-11;Quanto é 186 dividido por 6?;34;31;25;33;B
9-11;Quanto é 768 dividido por 16?;48;49;42;43;A
9-11;Quanto é 360 dividido por 8?;44;50;45;35;C
9-11;Quanto é 264 dividido por 6?;43;44;45;31;B
9-11;Quanto é 80 dividido por 4?;25;20;27;11;B
9-11;Quanto é 376 dividido por 8?;48;34;55;47;D
9-11;Quanto é 80 dividido por 8?;10;15;19;12;A
9-11;Quanto é 493 dividido por 17?;18;29;20;35;B
9-11;Quanto é 195 dividido por 15?;17;27;26;13;D
9-11;Quanto é 450 dividido por 18?;27;33;25;37;C
9-11;Quanto é 663 dividido por 17?;45;53;42;39;D
9-11;Quanto é 270 dividido por 10?;37;41;27;35;C
9-11;Quanto é 42 dividido por 7?;0;3;19;6;D
9-11;Quanto é 350 dividido por 14?;25;23;38;28;A
9-11;Quanto é 140 dividido por 14?;12;10;14;11;B
9-11;Quanto é 60 dividido por 3?;15;20;32;14;B
9-11;Quanto é 200 dividido por 10?;33;32;26;20;D
9-11;Quanto é 527 dividido por 17?;37;31;32;29;B
9-11;Quanto é 245 dividido por 7?;23;41;35;30;C
9-11;Quanto é 60 dividido por 12?;8;18;5;0;C
9-11;Quanto é 900 dividido por 20?;32;45;38;36;B
9-11;Quanto é 315 dividido por 15?;19;21;16;27;B
9-11;Quanto é 624 dividido por 16?;26;37;39;43;C
9-11;Quanto é 559 dividido por 13?;45;49;43;31;C
9-11;Quanto é 828 dividido por 18?;37;54;58;46;D
9-11;Quanto é 135 dividido por 15?;20;4;9;13;C
9-11;Quanto é 78 dividido por 13?;3;7;20;6;D
9-11;Quanto é 429 dividido por 13?;32;28;33;27;C
9-11;Quanto é 165 dividido por 5?;38;35;45;33;D
9-11;Quanto é 378 dividido por 9?;53;33;42;39;C
9-11;Quanto é 154 dividido por 7?;25;8;16;22;D
9-11;Quanto é 768 dividido por 16?;50;59;48;46;C
9-11;Quanto é 423 dividido por 9?;47;40;50;43;A
9-11;Quanto é 350 dividido por 7?;56;63;58;50;D
9-11;Quanto é 90 dividido por 10?;5;9;7;13;B
9-11;Quanto é 150 dividido por 15?;10;24;8;17;A
9-11;Quanto é 222 dividido por 6?;51;28;40;37;D
9-11;Quanto é 230 dividido por 10?;33;23;17;31;B
9-11;Quanto é 156 dividido por 6?;33;25;12;26;D
9-11;Quanto é 196 dividido por 4?;57;38;41;49;D
9-11;Quanto é 189 dividido por 9?;21;6;28;8;A
9-11;Quanto é 600 dividido por 20?;20;30;15;36;B
9-11;Quanto é 176 dividido por 8?;22;10;28;18;A
9-11;Quanto é 112 dividido por 8?;14;6;9;3;A
9-11;Quanto é 253 dividido por 11?;32;23;36;8;B
9-11;Quanto é 460 dividido por 20?;23;19;22;28;A
9-11;Quanto é 324 dividido por 12?;34;38;21;27;D
9-11;Quanto é 98 dividido por 7?;8;13;16;14;D
9-11;Quanto é 420 dividido por 10?;42;38;45;54;A
9-11;Quanto é 140 dividido por 14?;4;12;7;10;D
9-11;Quanto é 198 dividido por 9?;10;22;16;25;B
9-11;Quanto é 96 dividido por 6?;20;21;4;16;D
9-11;Quanto é 774 dividido por 18?;37;33;43;48;C
9-11;Quanto é 156 dividido por 13?;18;14;12;4;C
9-11;Quanto é 220 dividido por 11?;20;28;11;14;A
9-11;Quanto é 72 dividido por 8?;0;8;9;15;C
9-11;Quanto é 450 dividido por 18?;25;13;29;31;A
9-11;Quanto é 306 dividido por 9?;35;28;34;39;C
9-11;Quanto é 494 dividido por 13?;34;37;38;44;C
9-11;Quanto é 231 dividido por 7?;33;37;28;20;A
9-11;Quanto é 391 dividido por 17?;14;12;22;23;D
9-11;Quanto é 110 dividido por 5?;22;9;12;21;A
9-11;Quanto é 228 dividido por 19?;13;14;5;12;D
9-11;Quanto é 246 dividido por 6?;41;45;48;39;A
9-11;Quanto é 24 dividido por 3?;8;12;2;0;A
9-11;Quanto é 78 dividido por 13?;18;15;17;6;D
9-11;Quanto é 552 dividido por 12?;46;49;44;41;A
9-11;Quanto é 576 dividido por 18?;41;32;37;42;B
9-11;Quanto é 300 dividido por 15?;29;18;20;21;C
9-11;Quanto é 348 dividido por 12?;43;41;25;29;D
9-11;Quanto é 279 dividido por 9?;26;31;40;25;B
9-11;Quanto é 198 dividido por 11?;16;18;20;11;B
9-11;Quanto é 442 dividido por 17?;26;11;35;38;A
9-11;Quanto é 154 dividido por 11?;23;14;4;8;B
9-11;Quanto é 210 dividido por 15?;25;26;22;14;D
9-11;Quanto é 154 dividido por 14?;7;14;22;11;D
9-11;Quanto é 225 dividido por 5?;31;59;45;40;C
9-11;Quanto é 836 dividido por 19?;44;36;54;50;A
9-11;Quanto é 225 dividido por 5?;45;38;58;52;A
9-11;Quanto é 144 dividido por 18?;8;17;20;6;A
9-11;Quanto é 343 dividido por 7?;39;56;38;49;D
9-11;Quanto é 539 dividido por 11?;49;43;47;37;A
9-11;Quanto é 143 dividido por 13?;3;8;11;9;C
9-11;Quanto é 280 dividido por 20?;16;14;18;7;B
9-11;Quanto é 408 dividido por 12?;29;23;21;34;D
9-11;Quanto é 65 dividido por 5?;25;20;13;22;C
9-11;Quanto é 168 dividido por 4?;37;44;56;42;D
9-11;Quanto é 144 dividido por 3?;50;48;57;58;B
9-11;Quanto é 188 dividido por 4?;47;32;51;53;A
9-11;Quanto é 48 dividido por 8?;16;17;6;15;C
9-11;Quanto é 589 dividido por 19?;24;17;16;31;D
9-11;Quanto é 175 dividido por 5?;35;22;45;33;A
9-11;Quanto é 414 dividido por 18?;17;24;23;9;C
9-11;Quanto é 170 dividido por 5?;34;33;22;39;A
9-11;Quanto é 396 dividido por 11?;42;36;27;28;B
9-11;Quanto é 56 dividido por 8?;3;19;8;7;D
9-11;Quanto é 112 dividido por 7?;22;24;6;16;D
9-11;Quanto é 738 dividido por 18?;41;43;50;28;A
9-11;Quanto é 432 dividido por 12?;36;21;24;33;A
9-11;Quanto é 588 dividido por 14?;46;34;42;36;C
9-11;Quanto é 697 dividido por 17?;26;35;46;41;D
9-11;Quanto é 660 dividido por 20?;30;27;19;33;D
9-11;Quanto é 144 dividido por 9?;29;3;27;16;D
9-11;Quanto é 765 dividido por 17?;59;45;51;46;B
9-11;Quanto é 81 dividido por 9?;13;9;2;10;B
9-11;Quanto é 319 dividido por 11?;35;29;14;43;B
9-11;Quanto é 70 dividido por 7?;21;11;9;10;D
9-11;Quanto é 45 dividido por 9?;7;5;13;14;B
9-11;Quanto é 435 dividido por 15?;32;28;29;31;C
9-11;Quanto é 220 dividido por 10?;13;22;33;31;B
9-11;Quanto é 588 dividido por 12?;48;35;49;53;C
9-11;Quanto é 170 dividido por 5?;37;34;28;42;B
9-11;Quanto é 187 dividido por 17?;5;15;11;22;C
9-11;Quanto é 24 dividido por 3?;20;8;22;13;B
9-11;Quanto é 170 dividido por 17?;13;12;15;10;D
9-11;Quanto é 120 dividido por 20?;6;9;3;0;A
9-11;Quanto é 442 dividido por 17?;12;11;26;31;C
9-11;Quanto é 35 dividido por 5?;7;13;19;21;A
9-11;Quanto é 120 dividido por 5?;9;13;18;24;D
9-11;Quanto é 855 dividido por 19?;59;45;43;39;B
9-11;Quanto é 900 dividido por 18?;43;58;42;50;D
9-11;Quanto é 329 dividido por 7?;50;48;47;51;C
9-11;Quanto é 156 dividido por 4?;36;46;42;39;D
9-11;Quanto é 66 dividido por 3?;11;22;31;7;B
9-11;Quanto é 68 dividido por 4?;30;29;17;16;C
9-11;Quanto é 308 dividido por 11?;28;31;40;42;A
9-11;Quanto é 93 dividido por 3?;31;35;38;18;A
9-11;Quanto é 646 dividido por 17?;49;38;27;25;B
9-11;Quanto é 340 dividido por 10?;45;44;34;48;C
9-11;Quanto é 130 dividido por 5?;23;26;21;40;B
9-11;Quanto é 532 dividido por 14?;38;31;47;39;A
9-11;Quanto é 480 dividido por 10?;41;57;49;48;D
9-11;Quanto é 119 dividido por 17?;7;20;9;4;A
9-11;Quanto é 54 dividido por 9?;4;6;15;8;B
9-11;Quanto é 348 dividido por 12?;43;23;29;30;C
9-11;Quanto é 144 dividido por 9?;16;22;23;30;A
9-11;Quanto é 160 dividido por 8?;28;21;24;20;D
9-11;Quanto é 380 dividido por 19?;20;29;12;21;A
9-11;Quanto é 252 dividido por 14?;18;9;28;30;A
9-11;Quanto é 36 dividido por 4?;19;9;21;1;B
9-11;Quanto é 252 dividido por 12?;21;15;19;20;A
