Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Quanto é 30% de 120?;36;24;40;21;A
Quanto é 75% de 400?;285;300;295;310;B
Quanto é 80% de 200?;160;147;174;158;A
Quanto é 50% de 400?;200;203;211;198;A
Quanto é 20% de 40?;8;17;21;13;A
Quanto é 30% de 300?;104;88;79;90;D
Quanto é 25% de 60?;7;18;12;15;D
Quanto é 40% de 500?;203;195;194;200;D
Quanto é 40% de 500?;201;209;213;200;D
Quanto é 20% de 400?;92;75;80;65;C
Quanto é 80% de 100?;84;91;66;80;D
Quanto é 5% de 500?;25;31;13;32;A
Quanto é 15% de 400?;46;62;60;50;C
Quanto é 10% de 500?;50;63;51;52;A
Quanto é 75% de 500?;376;371;375;363;C
Quanto é 50% de 60?;30;34;44;21;A
Quanto é 40% de 400?;167;162;145;160;D
Quanto é 40% de 200?;87;66;84;80;D
Quanto é 50% de 200?;108;86;93;100;D
Quanto é 15% de 40?;5;6;4;8;B
Quanto é 30% de 150?;51;45;55;30;B
Quanto é 30% de 500?;151;149;157;150;D
Quanto é 25% de 300?;75;73;77;62;A
Quanto é 30% de 60?;18;24;19;25;A
Quanto é 5% de 200?;10;0;16;23;A
Quanto é 75% de 60?;59;37;45;42;C
Quanto é 20% de 200?;40;45;47;33;A
Quanto é 5% de 500?;10;24;20;25;D
Quanto é 30% de 200?;68;60;70;48;B
Quanto é 30% de 400?;107;132;120;131;C
Quanto é 5% de 120?;6;17;4;8;A
Quanto é 40% de 150?;50;71;45;60;D
Quanto é 30% de 150?;38;31;47;45;D
Quanto é 25% de 400?;102;86;100;96;C
Quanto é 50% de 100?;44;42;50;56;C
Quanto é 5% de 200?;13;20;24;10;D
Quanto é 25% de 200?;50;61;62;51;A
Quanto é 40% de 100?;45;34;54;40;D
Quanto é 50% de 120?;50;63;54;60;D
Quanto é 20% de 150?;20;21;30;28;C
Quanto é 40% de 120?;48;61;50;33;A
Quanto é 80% de 150?;131;119;128;120;D
Quanto é 25% de 40?;3;24;11;10;D
Quanto é 30% de 80?;9;24;30;26;B
Quanto é 80% de 60?;62;36;42;48;D
Quanto é 15% de 200?;32;38;30;42;C
Quanto é 75% de 500?;365;377;383;375;D
Quanto é 25% de 60?;10;29;15;6;C
Quanto é 15% de 150?;22;26;10;29;A
Quanto é 10% de 300?;22;30;38;18;B
Quanto é 40% de 150?;74;60;55;51;B
Quanto é 15% de 80?;9;6;12;8;C
Quanto é 15% de 120?;18;9;4;21;A
Quanto é 80% de 300?;250;237;234;240;D
Quanto é 10% de 200?;20;33;18;17;A
Quanto é 10% de 60?;6;20;4;14;A
Quanto é 20% de 40?;9;1;8;4;C
Quanto é 15% de 60?;9;17;10;8;A
Quanto é 10% de 40?;9;11;4;16;C
Quanto é 30% de 300?;99;90;91;89;B
Quanto é 25% de 300?;83;71;61;75;D
Quanto é 75% de 400?;300;312;298;288;A
Quanto é 30% de 80?;24;34;38;25;A
Quanto é 5% de 500?;26;21;25;31;C
Quanto é 10% de 150?;20;15;25;5;B
Quanto é 10% de 60?;5;6;3;12;B
Quanto é 10% de 60?;6;18;13;7;A
Quanto é 5% de 80?;2;7;4;0;C
Quanto é 40% de 100?;52;40;53;50;B
Quanto é 15% de 60?;9;10;12;15;A
Quanto é 40% de 120?;62;36;37;48;D
Quanto é 50% de 400?;200;191;205;213;A
Quanto é 40% de 60?;38;24;9;10;B
Quanto é 10% de 40?;9;8;4;2;C
Quanto é 20% de 200?;40;34;50;54;A
Quanto é 80% de 60?;39;60;51;48;D
Quanto é 30% de 500?;135;139;152;150;D
Quanto é 50% de 80?;33;51;39;40;D
Quanto é 80% de 40?;20;23;43;32;D
Quanto é 40% de 400?;161;155;167;160;D
Quanto é 20% de 400?;74;66;65;80;D
Quanto é 80% de 300?;240;226;250;251;A
Quanto é 25% de 500?;132;121;125;114;C
Quanto é 50% de 500?;249;250;255;254;B
Quanto é 30% de 120?;22;26;46;36;D
Quanto é 25% de 500?;118;125;123;112;B
Quanto é 15% de 80?;11;12;24;21;B
Quanto é 80% de 150?;108;120;133;129;B
Quanto é 15% de 40?;16;13;12;6;D
Quanto é 40% de 60?;37;12;9;24;D
Quanto é 30% de 60?;31;12;18;19;C
Quanto é 10% de 60?;20;0;1;6;D
Quanto é 20% de 120?;24;26;22;23;A
Quanto é 75% de 300?;233;216;219;225;D
Quanto é 25% de 150?;23;37;44;35;B
Quanto é 20% de 120?;37;32;24;36;C
Quanto é 10% de 80?;8;9;2;14;A
Quanto é 25% de 40?;10;17;16;18;A
Quanto é 5% de 200?;4;10;16;13;B
Quanto é 10% de 400?;42;39;40;33;C
Quanto é 40% de 120?;50;41;48;34;C
Quanto é 30% de 40?;3;12;2;26;B
Quanto é 30% de 100?;35;39;30;18;C
Quanto é 75% de 40?;30;34;40;27;A
Quanto é 25% de 150?;47;37;34;25;B
Quanto é 75% de 400?;300;298;308;291;A
Quanto é 50% de 150?;72;75;71;83;B
Quanto é 50% de 400?;200;204;198;194;A
Quanto é 80% de 120?;96;99;109;81;A
Quanto é 10% de 60?;5;8;18;6;D
Quanto é 25% de 120?;15;20;37;30;D
Quanto é 15% de 200?;20;29;44;30;D
Quanto é 25% de 100?;33;20;25;27;C
Quanto é 15% de 40?;1;15;3;6;D
Quanto é 25% de 100?;11;19;25;26;C
Quanto é 15% de 40?;1;3;6;2;C
Quanto é 10% de 150?;19;7;11;15;D
Quanto é 50% de 100?;50;56;40;37;A
Quanto é 5% de 80?;4;2;12;7;A
Quanto é 50% de 80?;33;35;40;51;C
Quanto é 40% de 400?;161;145;160;147;C
Quanto é 50% de 40?;26;27;31;20;D
Quanto é 25% de 200?;50;53;47;36;A
Quanto é 30% de 100?;40;38;30;31;C
Quanto é 40% de 100?;30;48;51;40;D
Quanto é 15% de 40?;6;18;3;9;A
Quanto é 20% de 40?;3;7;15;8;D
Quanto é 5% de 150?;7;18;4;21;A
Quanto é 80% de 100?;80;85;73;79;A
Quanto é 25% de 300?;64;89;75;71;C
Quanto é 30% de 150?;45;36;59;44;A
Quanto é 75% de 500?;377;366;375;368;C
Quanto é 80% de 300?;240;233;239;235;A
Quanto é 80% de 150?;120;134;105;123;A
Quanto é 50% de 200?;88;100;97;87;B
Quanto é 10% de 100?;20;11;9;10;D
Quanto é 10% de 100?;17;23;10;9;C
Quanto é 15% de 120?;11;6;12;18;D
Quanto é 10% de 60?;6;17;18;4;A
Quanto é 20% de 200?;31;40;49;45;B
Quanto é 50% de 150?;65;60;75;70;C
Quanto é 5% de 60?;8;6;7;3;D
Quanto é 10% de 150?;16;15;26;1;B
Quanto é 20% de 500?;106;100;98;112;B
Quanto é 80% de 120?;91;104;88;96;D
Quanto é 30% de 500?;140;137;150;149;C
Quanto é 20% de 60?;12;21;22;18;A
Quanto é 10% de 500?;50;48;53;45;A
Quanto é 15% de 500?;89;74;62;75;D
Quanto é 10% de 80?;8;15;2;19;A
Quanto é 5% de 120?;9;6;10;16;B
Quanto é 25% de 500?;123;116;137;125;D
Quanto é 80% de 500?;397;396;400;411;C
Quanto é 25% de 40?;16;10;5;15;B
Quanto é 15% de 80?;3;22;24;12;D
Quanto é 20% de 40?;10;21;12;8;D
Quanto é 25% de 300?;87;80;66;75;D
Quanto é 40% de 100?;45;40;39;52;B
Quanto é 10% de 500?;50;54;61;42;A
Quanto é 10% de 60?;6;17;9;0;A
Quanto é 50% de 150?;84;86;69;75;D
Quanto é 20% de 300?;65;60;66;67;B
Quanto é 50% de 40?;20;23;14;17;A
Quanto é 20% de 200?;40;52;41;46;A
Quanto é 75% de 200?;161;154;153;150;D
Quanto é 20% de 500?;87;114;91;100;D
Quanto é 80% de 80?;58;60;50;64;D
Quanto é 20% de 80?;6;1;17;16;D
Quanto é 10% de 400?;25;46;42;40;D
Quanto é 40% de 200?;80;75;74;90;A
Quanto é 30% de 60?;32;11;18;28;C
Quanto é 10% de 400?;26;40;44;39;B
Quanto é 30% de 500?;157;156;150;149;C
Quanto é 20% de 80?;26;4;16;18;C
Quanto é 75% de 60?;45;46;39;50;A
Quanto é 80% de 400?;319;320;317;323;B
Quanto é 15% de 400?;58;66;67;60;D
Quanto é 15% de 80?;12;25;21;2;A
Quanto é 10% de 120?;5;6;12;1;C
Quanto é 20% de 400?;80;81;71;73;A
Quanto é 20% de 80?;4;16;9;10;B
Quanto é 25% de 60?;6;15;27;28;B
Quanto é 40% de 150?;60;45;64;74;A
Quanto é 15% de 80?;12;13;22;6;A
Quanto é 10% de 60?;4;16;1;6;D
Quanto é 50% de 100?;39;49;52;50;D
Quanto é 5% de 300?;0;3;15;8;C
Quanto é 20% de 100?;13;25;20;5;C
Quanto é 30% de 300?;93;82;104;90;D
Quanto é 30% de 120?;33;36;28;32;B
Quanto é 10% de 40?;11;4;9;3;B
Quanto é 30% de 150?;34;39;45;53;C
Quanto é 25% de 40?;10;4;14;21;A
Quanto é 15% de 100?;7;28;15;3;C
Quanto é 15% de 80?;23;12;11;20;B
Quanto é 80% de 300?;240;239;233;230;A
Quanto é 50% de 80?;52;35;40;42;C
Quanto é 40% de 120?;48;38;51;58;A
Quanto é 40% de 80?;28;32;33;38;B
Quanto é 50% de 80?;45;30;40;34;C
Quanto é 80% de 400?;322;320;330;315;B
Quanto é 50% de 80?;41;28;40;52;C
Quanto é 50% de 500?;258;250;260;241;B
Quanto é 25% de 80?;15;25;20;18;C
Quanto é 10% de 300?;41;30;17;33;B
Quanto é 30% de 400?;106;120;110;126;B
Quanto é 15% de 120?;23;6;18;9;C
Quanto é 50% de 500?;259;262;249;250;D
Quanto é 50% de 150?;61;75;74;83;B
Quanto é 15% de 400?;55;60;62;53;B
Quanto é 10% de 500?;58;55;50;38;C
Quanto é 30% de 80?;12;9;10;24;D
Quanto é 10% de 400?;27;30;29;40;D
Quanto é 30% de 100?;29;36;41;30;D
Quanto é 30% de 120?;24;50;37;36;D
Quanto é 40% de 40?;16;11;13;5;A
Quanto é 50% de 60?;35;42;30;40;C
Quanto é 10% de 60?;6;17;16;0;A
Quanto é 75% de 100?;88;72;74;75;D
Quanto é 30% de 40?;26;1;13;12;D
Quanto é 15% de 40?;6;14;16;2;A
Quanto é 30% de 100?;33;30;27;19;B
Quanto é 5% de 500?;26;25;22;19;B
Quanto é 75% de 80?;60;47;73;59;A
Quanto é 80% de 500?;401;394;392;400;D
Quanto é 20% de 500?;100;93;91;109;A
Quanto é 15% de 120?;14;9;26;18;D
Quanto é 25% de 300?;76;75;72;64;B
Quanto é 40% de 200?;83;81;80;67;C
Quanto é 80% de 300?;243;228;240;235;C
Quanto é 50% de 100?;53;47;50;45;C
Quanto é 80% de 150?;123;120;134;107;B
Quanto é 50% de 80?;52;41;38;40;D
Quanto é 10% de 200?;34;9;20;33;C
Quanto é 15% de 60?;15;21;7;9;D
Quanto é 10% de 400?;33;40;42;53;B
Quanto é 15% de 200?;30;23;15;29;A
Quanto é 75% de 400?;303;294;314;300;D
Quanto é 5% de 60?;10;3;2;8;B
Quanto é 40% de 40?;4;12;16;28;C
Quanto é 40% de 150?;53;59;64;60;D
Quanto é 75% de 100?;75;86;83;82;A
Quanto é 75% de 400?;297;292;310;300;D
Quanto é 40% de 500?;206;213;200;191;C
Quanto é 10% de 120?;7;12;20;13;B
Quanto é 75% de 80?;51;69;53;60;D
Quanto é 50% de 100?;59;56;63;50;D
Quanto é 15% de 120?;9;32;23;18;D
Quanto é 25% de 120?;30;42;33;34;A
Quanto é 10% de 60?;15;9;6;4;C
Quanto é 5% de 80?;4;11;17;15;A
Quanto é 20% de 100?;12;6;20;24;C
Quanto é 30% de 200?;68;69;54;60;D
Quanto é 80% de 100?;93;80;85;84;B
Quanto é 80% de 120?;91;109;87;96;D
Quanto é 80% de 120?;91;96;110;87;B
Quanto é 10% de 500?;59;63;51;50;D
Quanto é 15% de 200?;39;43;41;30;D
Quanto é 10% de 80?;8;6;21;3;A
Quanto é 20% de 40?;20;21;8;7;C
Quanto é 5% de 150?;7;11;9;2;A
Quanto é 30% de 40?;1;5;12;7;C
Quanto é 5% de 150?;15;7;6;11;B
Quanto é 80% de 500?;395;390;402;400;D
Quanto é 30% de 80?;10;24;33;11;B
Quanto é 25% de 150?;27;31;37;22;C
Quanto é 15% de 100?;15;24;20;23;A
Quanto é 50% de 60?;18;30;44;35;B
Quanto é 30% de 300?;79;89;90;103;C
Quanto é 40% de 500?;191;200;211;205;B
Quanto é 20% de 200?;25;40;50;42;B
Quanto é 80% de 150?;125;134;115;120;D
Quanto é 25% de 80?;11;10;20;25;C
Quanto é 15% de 100?;12;15;20;4;B
Quanto é 20% de 500?;92;110;93;100;D
Quanto é 15% de 400?;68;50;60;55;C
Quanto é 10% de 200?;9;20;11;32;B
Quanto é 75% de 400?;300;301;291;307;A
Quanto é 10% de 300?;39;30;44;22;B
Quanto é 15% de 500?;81;89;76;75;D
Quanto é 50% de 100?;44;43;50;46;C
Quanto é 80% de 100?;76;80;89;82;B
Quanto é 75% de 80?;62;61;72;60;D
Quanto é 80% de 500?;414;401;385;400;D
Quanto é 30% de 300?;90;82;75;81;A
Quanto é 5% de 200?;24;9;19;10;D
Quanto é 15% de 80?;25;16;12;26;C
Quanto é 20% de 300?;50;69;60;57;C
Quanto é 25% de 200?;42;40;50;37;C
Quanto é 10% de 80?;2;8;9;11;B
Quanto é 30% de 100?;30;35;25;33;A
Quanto é 40% de 120?;56;35;48;41;C
Quanto é 80% de 200?;153;160;164;158;B
Quanto é 15% de 60?;16;9;5;3;B
Quanto é 20% de 500?;109;100;92;102;B
Quanto é 15% de 120?;4;28;9;18;D
Quanto é 40% de 100?;42;54;40;48;C
Quanto é 5% de 300?;15;29;8;19;A
Quanto é 75% de 120?;86;84;90;82;C
Quanto é 75% de 120?;83;90;79;82;B
Quanto é 75% de 100?;62;77;75;80;C
Quanto é 30% de 500?;150;135;147;154;A
Quanto é 50% de 60?;24;33;30;31;C
Quanto é 25% de 300?;84;75;89;73;B
Quanto é 75% de 200?;140;150;139;153;B
Quanto é 75% de 100?;79;78;75;76;C
Quanto é 75% de 40?;30;32;36;28;A
Quanto é 40% de 200?;86;93;80;67;C
Quanto é 75% de 100?;75;80;69;73;A
Quanto é 10% de 300?;29;30;16;44;B
Quanto é 15% de 300?;52;32;45;43;C
Quanto é 80% de 300?;254;231;236;240;D
Quanto é 40% de 200?;80;91;94;68;A
Quanto é 25% de 150?;29;32;34;37;D
Quanto é 5% de 40?;2;3;0;10;A
Quanto é 80% de 120?;96;108;98;93;A
Quanto é 50% de 40?;29;21;33;20;D
Quanto é 25% de 150?;46;34;37;27;C
Quanto é 50% de 120?;65;58;60;54;C
Quanto é 10% de 500?;50;42;57;47;A
Quanto é 15% de 80?;12;13;25;15;A
Quanto é 15% de 120?;18;15;27;8;A
Quanto é 10% de 80?;11;8;1;5;B
Quanto é 10% de 300?;41;44;26;30;D
Quanto é 30% de 60?;3;29;15;18;D
Quanto é 25% de 60?;23;19;15;10;C
Quanto é 10% de 200?;18;22;20;14;C
Quanto é 20% de 300?;63;49;59;60;D
Quanto é 20% de 200?;40;28;48;45;A
Quanto é 50% de 120?;65;60;73;54;B
Quanto é 80% de 100?;86;94;80;76;C
Quanto é 5% de 80?;4;8;17;6;A
Quanto é 50% de 100?;40;50;42;47;B
Quanto é 80% de 200?;160;163;169;161;A
Quanto é 40% de 60?;15;36;31;24;D
Qual é a área de um triângulo com base 18 cm e altura 10 cm?;90;97;80;79;A
Qual é a área de um retângulo com largura 10 cm e altura 12 cm?;125;133;120;114;C
Qual é a área de um triângulo com base 5 cm e altura 10 cm?;25;27;32;13;A
Qual é a área de um triângulo com base 6 cm e altura 11 cm?;22;44;33;18;C
Qual é a área de um retângulo com largura 15 cm e altura 8 cm?;120;126;122;115;A
Qual é a área de um triângulo com base 13 cm e altura 14 cm?;91;100;95;92;A
Qual é a área de um retângulo com largura 15 cm e altura 3 cm?;31;40;45;49;C
Qual é a área de um retângulo com largura 17 cm e altura 3 cm?;51;38;50;39;A
Qual é a área de um triângulo com base 14 cm e altura 14 cm?;108;98;90;94;B
Qual é a área de um triângulo com base 7 cm e altura 12 cm?;55;30;42;29;C
Qual é a área de um retângulo com largura 15 cm e altura 13 cm?;181;207;190;195;D
Qual é a área de um retângulo com largura 9 cm e altura 14 cm?;126;131;123;111;A
Qual é a área de um triângulo com base 17 cm e altura 4 cm?;33;44;34;23;C
Qual é a área de um retângulo com largura 15 cm e altura 4 cm?;49;58;60;62;C
Qual é a área de um triângulo com base 7 cm e altura 3 cm?;12.8;10.5;13;11.9;B
Qual é a área de um triângulo com base 16 cm e altura 13 cm?;106;102;104;113;C
Qual é a área de um retângulo com largura 15 cm e altura 11 cm?;176;155;165;175;C
Qual é a área de um triângulo com base 4 cm e altura 12 cm?;12;37;30;24;D
Qual é a área de um triângulo com base 20 cm e altura 13 cm?;130;123;143;124;A
Qual é a área de um retângulo com largura 10 cm e altura 7 cm?;84;70;58;72;B
Qual é a área de um retângulo com largura 11 cm e altura 6 cm?;59;61;69;66;D
Qual é a área de um triângulo com base 9 cm e altura 7 cm?;34.3;31.5;27.5;36.3;B
Qual é a área de um retângulo com largura 10 cm e altura 9 cm?;90;85;104;103;A
Qual é a área de um retângulo com largura 4 cm e altura 12 cm?;51;48;60;34;B
Qual é a área de um retângulo com largura 12 cm e altura 11 cm?;124;138;120;132;D
Qual é a área de um triângulo com base 6 cm e altura 13 cm?;39;45;53;29;A
Qual é a área de um triângulo com base 14 cm e altura 11 cm?;77;80;78;70;A
Qual é a área de um retângulo com largura 4 cm e altura 3 cm?;2;12;14;16;B
Qual é a área de um triângulo com base 9 cm e altura 13 cm?;59.5;58.5;57.1;54.1;B
Qual é a área de um triângulo com base 4 cm e altura 14 cm?;22;28;34;33;B
Qual é a área de um retângulo com largura 15 cm e altura 15 cm?;233;225;239;229;B
Qual é a área de um retângulo com largura 14 cm e altura 9 cm?;124;128;121;126;D
Qual é a área de um retângulo com largura 11 cm e altura 9 cm?;99;108;95;111;A
Qual é a área de um retângulo com largura 8 cm e altura 11 cm?;88;89;82;77;A
Qual é a área de um triângulo com base 17 cm e altura 8 cm?;74;64;68;76;C
Qual é a área de um retângulo com largura 12 cm e altura 14 cm?;172;182;168;170;C
Qual é a área de um retângulo com largura 20 cm e altura 4 cm?;80;71;91;94;A
Qual é a área de um retângulo com largura 8 cm e altura 7 cm?;64;59;51;56;D
Qual é a área de um triângulo com base 18 cm e altura 9 cm?;81;69;72;92;A
Qual é a área de um triângulo com base 14 cm e altura 9 cm?;63;60;70;48;A
Qual é a área de um triângulo com base 4 cm e altura 14 cm?;32;15;36;28;D
Qual é a área de um triângulo com base 19 cm e altura 7 cm?;65.1;62.6;66.5;71.4;C
Qual é a área de um triângulo com base 7 cm e altura 8 cm?;16;19;28;33;C
Qual é a área de um retângulo com largura 16 cm e altura 6 cm?;106;101;96;98;C
Qual é a área de um retângulo com largura 20 cm e altura 9 cm?;180;173;172;168;A
Qual é a área de um triângulo com base 5 cm e altura 8 cm?;27;20;9;31;B
Qual é a área de um triângulo com base 8 cm e altura 5 cm?;15;24;20;30;C
Qual é a área de um triângulo com base 18 cm e altura 15 cm?;148;142;133;135;D
Qual é a área de um triângulo com base 8 cm e altura 3 cm?;16;14;1;12;D
Qual é a área de um retângulo com largura 4 cm e altura 5 cm?;9;5;29;20;D
Qual é a área de um retângulo com largura 4 cm e altura 14 cm?;65;66;46;56;D
Qual é a área de um triângulo com base 8 cm e altura 8 cm?;41;28;32;35;C
Qual é a área de um retângulo com largura 6 cm e altura 4 cm?;13;20;24;33;C
Qual é a área de um triângulo com base 6 cm e altura 11 cm?;34;38;23;33;D
Qual é a área de um triângulo com base 7 cm e altura 5 cm?;22.1;17.5;17.7;18.9;B
Qual é a área de um triângulo com base 11 cm e altura 15 cm?;85.9;83.8;85.7;82.5;D
Qual é a área de um retângulo com largura 14 cm e altura 13 cm?;189;182;196;192;B
Qual é a área de um retângulo com largura 10 cm e altura 12 cm?;120;123;122;126;A
Qual é a área de um triângulo com base 18 cm e altura 12 cm?;108;103;102;111;A
Qual é a área de um retângulo com largura 18 cm e altura 9 cm?;160;162;171;153;B
Qual é a área de um triângulo com base 15 cm e altura 3 cm?;23.1;26.4;19.2;22.5;D
Qual é a área de um triângulo com base 6 cm e altura 12 cm?;32;22;36;48;C
Qual é a área de um retângulo com largura 4 cm e altura 5 cm?;13;33;10;20;D
Qual é a área de um triângulo com base 16 cm e altura 10 cm?;80;82;83;69;A
Qual é a área de um triângulo com base 14 cm e altura 9 cm?;52;54;75;63;D
Qual é a área de um retângulo com largura 20 cm e altura 7 cm?;140;127;128;148;A
Qual é a área de um triângulo com base 6 cm e altura 3 cm?;0;18;9;21;C
Qual é a área de um triângulo com base 5 cm e altura 12 cm?;37;31;40;30;D
Qual é a área de um triângulo com base 10 cm e altura 6 cm?;19;39;30;34;C
Qual é a área de um triângulo com base 4 cm e altura 9 cm?;21;18;17;28;B
Qual é a área de um triângulo com base 20 cm e altura 15 cm?;155;154;153;150;D
Qual é a área de um retângulo com largura 14 cm e altura 3 cm?;42;54;43;35;A
Qual é a área de um triângulo com base 6 cm e altura 9 cm?;41;27;22;32;B
Qual é a área de um triângulo com base 14 cm e altura 5 cm?;24;36;40;35;D
Qual é a área de um retângulo com largura 19 cm e altura 4 cm?;75;70;76;86;C
Qual é a área de um retângulo com largura 17 cm e altura 3 cm?;51;49;45;36;A
Qual é a área de um retângulo com largura 12 cm e altura 5 cm?;69;64;60;65;C
Qual é a área de um retângulo com largura 5 cm e altura 4 cm?;29;12;20;22;C
Qual é a área de um triângulo com base 15 cm e altura 4 cm?;31;30;25;28;B
Qual é a área de um retângulo com largura 18 cm e altura 5 cm?;90;79;92;89;A
Qual é a área de um triângulo com base 4 cm e altura 15 cm?;44;31;30;22;C
Qual é a área de um retângulo com largura 12 cm e altura 15 cm?;182;190;180;177;C
Qual é a área de um retângulo com largura 8 cm e altura 12 cm?;107;96;83;98;B
Qual é a área de um retângulo com largura 13 cm e altura 11 cm?;128;133;143;135;C
Qual é a área de um triângulo com base 7 cm e altura 4 cm?;21;14;18;22;B
Qual é a área de um retângulo com largura 17 cm e altura 15 cm?;255;249;248;243;A
Qual é a área de um triângulo com base 16 cm e altura 7 cm?;56;68;59;46;A
Qual é a área de um retângulo com largura 15 cm e altura 8 cm?;129;114;119;120;D
Qual é a área de um retângulo com largura 5 cm e altura 3 cm?;16;18;15;0;C
Qual é a área de um triângulo com base 9 cm e altura 8 cm?;36;34;50;41;A
Qual é a área de um retângulo com largura 20 cm e altura 8 cm?;153;154;157;160;D
Qual é a área de um triângulo com base 16 cm e altura 11 cm?;88;94;85;82;A
Qual é a área de um retângulo com largura 15 cm e altura 9 cm?;134;135;121;122;B
Qual é a área de um triângulo com base 10 cm e altura 12 cm?;58;69;67;60;D
Qual é a área de um retângulo com largura 8 cm e altura 15 cm?;108;114;124;120;D
Qual é a área de um retângulo com largura 19 cm e altura 6 cm?;114;109;100;124;A
Qual é a área de um triângulo com base 14 cm e altura 14 cm?;87;101;98;96;C
Qual é a área de um retângulo com largura 9 cm e altura 3 cm?;34;37;40;27;D
Qual é a área de um triângulo com base 7 cm e altura 12 cm?;49;38;42;29;C
Qual é a área de um triângulo com base 18 cm e altura 7 cm?;53;59;63;73;C
Qual é a área de um triângulo com base 9 cm e altura 8 cm?;45;41;36;32;C
Qual é a área de um retângulo com largura 8 cm e altura 11 cm?;91;79;99;88;D
Qual é a área de um triângulo com base 5 cm e altura 5 cm?;14.8;13.1;12.5;10.1;C
Qual é a área de um retângulo com largura 6 cm e altura 12 cm?;57;67;72;61;C
Qual é a área de um retângulo com largura 19 cm e altura 10 cm?;190;196;188;199;A
Qual é a área de um retângulo com largura 5 cm e altura 9 cm?;40;47;44;45;D
Qual é a área de um triângulo com base 4 cm e altura 4 cm?;8;7;21;14;A
Qual é a área de um triângulo com base 20 cm e altura 15 cm?;149;150;137;140;B
Qual é a área de um retângulo com largura 18 cm e altura 9 cm?;162;155;164;147;A
Qual é a área de um retângulo com largura 12 cm e altura 10 cm?;123;132;105;120;D
Qual é a área de um retângulo com largura 5 cm e altura 9 cm?;58;38;45;44;C
Qual é a área de um triângulo com base 14 cm e altura 9 cm?;63;65;69;49;A
Qual é a área de um triângulo com base 10 cm e altura 11 cm?;48;44;46;55;D
Qual é a área de um retângulo com largura 8 cm e altura 3 cm?;18;37;30;24;D
Qual é a área de um retângulo com largura 6 cm e altura 14 cm?;95;85;84;87;C
Qual é a área de um triângulo com base 15 cm e altura 10 cm?;60;72;82;75;D
Qual é a área de um retângulo com largura 13 cm e altura 5 cm?;65;64;75;66;A
Qual é a área de um retângulo com largura 18 cm e altura 9 cm?;166;162;149;148;B
Qual é a área de um retângulo com largura 15 cm e altura 8 cm?;115;126;120;122;C
Qual é a área de um retângulo com largura 16 cm e altura 10 cm?;160;163;152;145;A
Qual é a área de um retângulo com largura 11 cm e altura 15 cm?;178;156;165;154;C
Qual é a área de um retângulo com largura 19 cm e altura 15 cm?;285;289;280;286;A
Qual é a área de um retângulo com largura 15 cm e altura 7 cm?;117;111;100;105;D
Qual é a área de um retângulo com largura 7 cm e altura 3 cm?;21;35;13;32;A
Qual é a área de um triângulo com base 6 cm e altura 4 cm?;16;18;13;12;D
Qual é a área de um retângulo com largura 8 cm e altura 14 cm?;105;112;109;122;B
Qual é a área de um triângulo com base 9 cm e altura 10 cm?;33;50;45;38;C
Qual é a área de um triângulo com base 14 cm e altura 6 cm?;44;38;32;42;D
Qual é a área de um retângulo com largura 14 cm e altura 13 cm?;181;182;188;178;B
Qual é a área de um triângulo com base 13 cm e altura 10 cm?;65;68;59;64;A
Qual é a área de um triângulo com base 9 cm e altura 14 cm?;63;76;75;55;A
Qual é a área de um retângulo com largura 16 cm e altura 7 cm?;123;111;112;121;C
Qual é a área de um retângulo com largura 9 cm e altura 4 cm?;42;25;34;36;D
Qual é a área de um triângulo com base 9 cm e altura 15 cm?;67.5;72;66.2;64.9;A
Qual é a área de um retângulo com largura 7 cm e altura 6 cm?;42;36;51;43;A
Qual é a área de um triângulo com base 17 cm e altura 6 cm?;51;48;40;49;A
Qual é a área de um triângulo com base 11 cm e altura 15 cm?;79.2;87.3;82.5;84;C
Qual é a área de um retângulo com largura 10 cm e altura 6 cm?;60;55;68;57;A
Qual é a área de um triângulo com base 5 cm e altura 6 cm?;3;15;12;9;B
Qual é a área de um retângulo com largura 17 cm e altura 10 cm?;183;170;161;162;B
Qual é a área de um retângulo com largura 19 cm e altura 8 cm?;157;166;155;152;D
Qual é a área de um triângulo com base 15 cm e altura 8 cm?;68;60;65;57;B
Qual é a área de um triângulo com base 11 cm e altura 15 cm?;83.6;82.5;77.9;84.4;B
Qual é a área de um triângulo com base 8 cm e altura 8 cm?;37;43;31;32;D
Qual é a área de um retângulo com largura 11 cm e altura 7 cm?;65;77;91;82;B
Qual é a área de um triângulo com base 15 cm e altura 15 cm?;112.5;116.6;109.4;113.4;A
Qual é a área de um retângulo com largura 13 cm e altura 12 cm?;170;143;156;164;C
Qual é a área de um retângulo com largura 8 cm e altura 3 cm?;33;24;30;22;B
Qual é a área de um triângulo com base 10 cm e altura 12 cm?;60;45;51;61;A
Qual é a área de um retângulo com largura 19 cm e altura 15 cm?;285;292;280;284;A
Qual é a área de um retângulo com largura 20 cm e altura 6 cm?;132;126;120;121;C
Qual é a área de um retângulo com largura 4 cm e altura 10 cm?;48;31;54;40;D
Qual é a área de um triângulo com base 11 cm e altura 12 cm?;58;62;78;66;D
Qual é a área de um retângulo com largura 13 cm e altura 8 cm?;93;101;109;104;D
Qual é a área de um triângulo com base 12 cm e altura 11 cm?;72;54;66;59;C
